Repo Name,Release Count,Commit Count,PR Count,Average Latency,Average Comments,Contributors
commons-logging,2,143512,168,1189.3214285714287,1.0238095238095237,477
commons-cli,21,82792,235,1718.1489361702127,1.3021276595744682,135
libcloud,50,646344,370,1108.8945945945945,1.5918918918918918,1011
commons-validator,0,26138,152,2372.5131578947367,0.42105263157894735,200
ftpserver,1,517311,225,1876.8622222222223,0.47555555555555556,1611
tomcat,10,35516,247,404.0080971659919,1.5991902834008098,142
tiles,0,15321,65,2531.8307692307694,0.4307692307692308,18
cordova-app-hello-world,11,2993,132,1457.409090909091,0.8257575757575758,80
commons-net,0,73807,144,1135.3680555555557,0.8541666666666666,54
cordova-cli,0,23969,157,1059.8343949044586,0.6050955414012739,134
echarts,96,15873,111,452.45045045045043,2.099099099099099,150
commons-csv,1,10752,146,1351.4931506849316,1.1643835616438356,99
cordova-plugin-battery-status,27,4899,255,466.97254901960787,0.5490196078431373,75
cordova-plugin-console,0,8079,105,1509.6380952380953,0.6,38
cordova-plugin-device,8,7959,215,169.08372093023254,0.7162790697674418,96
cordova-plugin-geolocation,14,6687,226,579.3185840707964,1.0132743362831858,67
cordova-plugin-inappbrowser,0,26150,101,87.33663366336634,3.3069306930693068,111
cordova-plugin-network-information,8,1942,192,353.9791666666667,0.921875,64
cordova-plugin-splashscreen,8,8069,204,453.7352941176471,1.4264705882352942,107
cordova-plugin-vibration,8,38491,198,845.1212121212121,0.5202020202020202,129
commons-pool,0,60277,119,813.09243697479,1.3865546218487395,71
commons-dbcp,0,22105,368,622.758152173913,0.5108695652173914,90
commons-jelly,2,30435,69,3933.855072463768,0.9130434782608695,91
commons-jexl,23,59204,484,1427.1528925619834,0.7479338842975206,205
commons-jxpath,126,239789,560,681.7696428571429,1.9035714285714285,1038
commons-email,1,31642,218,474.0366972477064,0.2706422018348624,218
commons-imaging,44,33824,367,1959.2752043596731,0.8010899182561307,116
commons-bsf,11,367495,207,2878.7246376811595,0.8309178743961353,1065
commons-daemon,2,184902,149,1390.523489932886,1.3758389261744965,285
commons-dbutils,1,11410,142,1319.119718309859,1.3943661971830985,37
commons-digester,5,111321,212,2114.669811320755,0.3632075471698113,76
commons-bcel,41,126496,537,713.0707635009311,1.2886405959031657,839
commons-vfs,6,248302,428,623.3878504672897,2.432242990654206,512
cordova-browser,0,2157,97,502.41237113402065,1.1237113402061856,61
juddi-scout,2,32492,73,2440.8630136986303,0.3698630136986301,207
juddi,0,24627,114,3320.4473684210525,0.6929824561403509,231
curator,19,241269,295,2392.0101694915256,2.010169491525424,870
cxf-xjc-utils,44,383025,425,1271.8776470588236,2.171764705882353,1746
cordova-plugin-statusbar,8,8040,216,490.25,1.5601851851851851,94
cordova-lib,11,6366,179,854.1452513966481,0.9106145251396648,192
phoenix,5,5629,189,1899.5449735449736,2.0846560846560847,128
cordova-plugin-test-framework,51,8749,354,2656.864406779661,0.9915254237288136,140
ddlutils,30,25789,153,3791.3137254901962,0.9803921568627451,301
commons-math,1,149018,126,750.6984126984127,0.9920634920634921,278
commons-text,12,155761,182,2285.1153846153848,1.2967032967032968,311
cordova-plugin-whitelist,0,6550,46,1240.8260869565217,1.5869565217391304,76
struts-annotations,2,68978,147,5804.551020408163,0.7755102040816326,365
commons-rdf,140,100603,840,1781.9238095238095,1.1833333333333333,570
datasketches-java,108,259777,689,1295.9027576197388,2.018867924528302,3839
nifi-maven,55,127868,344,2128.4738372093025,0.29069767441860467,2344
cordova-plugin-wkwebview-engine,52,128623,369,1751.6368563685637,0.7859078590785907,421
yetus,0,55830,127,1222.0393700787401,0.7401574803149606,78
cordova-paramedic,28,7889,310,839.5548387096774,0.6903225806451613,105
openwhisk-client-js,674,18191,615,1178.4829268292683,2.4097560975609755,114
cordova-plugin-compat,0,39311,106,1457.811320754717,0.05660377358490566,78
commons-crypto,1,618375,245,538.0938775510205,1.1877551020408164,1440
cordova-plugin-screen-orientation,8,23202,344,428.3575581395349,0.622093023255814,42
qpid-python,1,202981,40,4662.525,0.6,1234
cordova-create,11,2959,140,1432.7642857142857,0.7642857142857142,60
commons-rng,104,46347,603,1385.4825870646766,1.0248756218905473,185
cordova-electron,30,3717,172,2621.2441860465115,0.9941860465116279,33
cordova-common,12,9179,228,1375.6491228070176,0.8947368421052632,99
cordova-fetch,11,2941,152,1126.8552631578948,0.8947368421052632,66
cordova-serve,17,6119,295,1013.8610169491525,0.9254237288135593,93
logging-log4j-kotlin,0,347,25,2156.72,2.52,16
commons-build-plugin,0,13760,378,1494.1375661375662,0.9074074074074074,111
activemq-nms-api,0,16059,39,3934.3076923076924,2.7435897435897436,23
cordova-node-xcode,3,1271,101,984.5049504950495,1.198019801980198,60
httpcomponents-stylecheck,0,13406,27,6119.481481481482,0.5555555555555556,45
commons-parent,0,2791,147,2191.673469387755,0.3197278911564626,52
jackrabbit-filevault-package-maven-plugin,26,788,87,1905.5977011494253,0.6551724137931034,18
incubator-weex-ui,47,5394,141,2502.468085106383,0.9148936170212766,60
sling-org-apache-sling-api,42,5949,214,2436.3598130841124,1.1308411214953271,81
sling-org-apache-sling-auth-core,25,52731,161,1627.832298136646,1.2981366459627328,65
sling-org-apache-sling-commons-classloader,84,37967,556,1430.724820143885,0.935251798561151,222
sling-org-apache-sling-commons-johnzon,146,27386,823,2076.8226002430133,0.9295261239368166,435
sling-org-apache-sling-commons-log,93,84029,543,800.3720073664825,1.014732965009208,170
sling-org-apache-sling-commons-scheduler,55,31848,344,1734.8517441860465,0.9447674418604651,131
sling-org-apache-sling-commons-threads,65,13482,435,2525.404597701149,0.5816091954022988,172
sling-org-apache-sling-engine,0,26563,173,4688.184971098266,0.8497109826589595,130
sling-org-apache-sling-adapter,22,21576,385,1979.0077922077921,0.5038961038961038,113
sling-org-apache-sling-caconfig-api,29,15220,448,1484.0625,1.171875,158
sling-org-apache-sling-event,104,30322,478,1106.7196652719665,0.801255230125523,126
sling-org-apache-sling-i18n,139,9912,522,2656.1187739463603,0.8754789272030651,212
sling-org-apache-sling-models-api,1,530,33,8331.757575757576,0.06060606060606061,18
sling-org-apache-sling-models-impl,2,900,54,3287.4074074074074,1.0185185185185186,31
sling-org-apache-sling-serviceusermapper,68,66396,829,1371.9927623642943,1.180940892641737,382
sling-org-apache-sling-servlet-helpers,131,19536,717,2351.2538354253834,1.0292887029288702,322
sling-org-apache-sling-settings,80,51788,442,1563.0113122171945,0.7262443438914027,138
sling-org-apache-sling-jcr-api,22,48792,159,2309.698113207547,0.3584905660377358,78
sling-org-apache-sling-jcr-base,103,46718,640,1004.540625,0.8625,188
sling-org-apache-sling-jcr-resource,24,18471,479,1296.187891440501,0.7578288100208769,135
sling-org-apache-sling-scripting-sightly-compiler,1,618,27,5574.222222222223,0.2222222222222222,38
sling-org-apache-sling-scripting-sightly,17,12501,400,1602.5425,0.71,104
sling-org-apache-sling-servlets-post,0,891,96,3766.3333333333335,0.4583333333333333,29
sling-org-apache-sling-installer-core,19,64032,291,3180.9862542955325,0.7422680412371134,194
sling-org-apache-sling-junit-core,0,731,88,3947.3522727272725,0.38636363636363635,29
sling-org-apache-sling-testing-jcr-mock,162,18289,607,1374.8023064250413,1.5057660626029654,399
sling-org-apache-sling-testing-logging-mock,30,17779,645,1503.0232558139535,0.8852713178294573,171
sling-org-apache-sling-testing-osgi-mock,30,180428,559,2096.067978533095,1.221824686940966,413
sling-org-apache-sling-testing-sling-mock-oak,94,58721,1073,1124.9850885368128,0.9468779123951537,315
sling-org-apache-sling-testing-sling-mock,11,23470,229,2208.934497816594,0.851528384279476,72
sling-org-apache-sling-caconfig-bnd-plugin,6,373,17,5786.058823529412,0.058823529411764705,12
sling-org-apache-sling-bnd-models,6,374,17,5786.058823529412,0.058823529411764705,12
sling-adapter-annotations,8,51761,256,2430.2578125,0.4296875,115
sling-htl-maven-plugin,6,518,19,7171.736842105263,0.21052631578947367,19
sling-htl-maven-plugin,6,520,19,7171.736842105263,0.21052631578947367,19
sling-adapter-annotations,1,50167,180,3258.0333333333333,1.0722222222222222,143
sling-adapter-annotations,1,49391,180,3405.911111111111,0.7833333333333333,124
sling-maven-launchpad-plugin,16,43372,21,10055.238095238095,0.2857142857142857,32
sling-maven-launchpad-plugin,5,41325,15,13889.333333333334,0.4,27
sling-maven-launchpad-plugin,5,40669,15,13889.333333333334,0.4,27
sling-maven-launchpad-plugin,17,56052,126,2134.0079365079364,0.8492063492063492,56
sling-maven-plugin,15,5478,193,2127.5492227979275,0.16580310880829016,28
sling-slingstart-maven-plugin,29,56702,651,1883.288786482335,1.1505376344086022,235
incubator-crail,55,25040,441,2172.362811791383,1.1405895691609977,1537
maven-reporting-api,15,133472,337,1700.2373887240356,0.8486646884272997,1182
maven-reporting-exec,100,90498,762,1548.0144356955382,2.574803149606299,435
maven-reporting-impl,8,125061,243,2591.5020576131687,0.7695473251028807,591
maven-shared-incremental,20,148179,417,1633.5755395683452,1.65947242206235,398
maven-shared-io,3,145177,263,3619.5019011406844,1.908745247148289,408
maven-shared-jar,25,70164,454,2315.081497797357,1.381057268722467,342
