Repo Name,Is Source?
LaudateCorpus1/PACE,False
LaudateCorpus1/openlr,False
LaudateCorpus1/speedtools,False
LaudateCorpus1/jenkinsfile-runner,False
LaudateCorpus1/jenkins,False
LaudateCorpus1/activemq,False
LaudateCorpus1/fda-mystudies,False
LaudateCorpus1/concord,False
LaudateCorpus1/Tank,False
cm4j/cm4j-all,False
Erwin-Neo/design-pattern,False
shaolei7788/flink-1.12.0-src,False
deninthomas/moviebooking,False
drshensw/project,False
huangchanghuan/ruoyi,False
xiangzi168/framwork-parent,False
skonsul/community,False
shen0730/atcrowdfunding-master,False
soapy2018/meng-parent-pom,False
DdogRing/DdogRing-Cloud,False
waitingworld/ruoyi-server,False
ji1804chendeli/ruoyi,False
anushaaru/upgrad-backend-repository,False
mygps0916/springboot_book,False
mygps0916/renhuas-back,False
mygps0916/siwei-edu,False
Nam68/web,False
chongqiWang/study_web,False
intellicoder/monika,False
ParkYongB/Spring-Project,False
just-for-fun-groups/finch_god,False
johan--/nagios-plugins,False
johan--/geoserver,False
johan--/sonar,False
taicheetah/mydictionary,False
ArchanaShahRS/addonapp-priceintelligence,False
Lewis-qq398529803/lewis-springboot-vue,False
raxcl/blog-parent,False
ghostxbh/uzy-fp,False
max2301/Java,False
dunhanson/tablestore-spring-boot-starter,False
sunyatatu/o2otest,False
Mingw0717/SLM-Admin,False
Lzw-github21/lzw2021,False
furenqiang-htht/datahub,False
metonics/Smart-City-Real-Time-Big-Data-Analytics,False
apache/poi,True
sandhyajhama/eclipse-workspace,False
hassanabdelwhab/SeleniumFramwork,False
saritap/SalesForceProject2021,False
blckbrd5/HOTELPROJECT,False
Ponson39/Contabilidad,False
Alexandr-Popovych/ConsolidationTable,False
mustafatekin1/cucumber-framework,False
ermalaliraj/campus,False
learning4us/inetbankingV1,False
rushikesh2407/materialManeger,False
Avisha007/Maven,False
ricksen100/MyBDDFramework,False
drizzle888/qy-java,False
hzs0502030128/smile-framework,False
JhonatanMedi/CursoFinal,False
nayeem225/WebAutomation,False
Linfanchen/JapiAutoTest,False
AlexanderVictorchik/AndersenHomeWork-Task4,False
bettertester21/Selenium,False
pratikshagollar/FB,False
Sk-Abdul-Nazim/Event-Management-System,False
praveen270397/Cucumber_automation,False
eslamfaisal/spring-freelance-apis-kotlin,False
tarikburakkumcu/PageObjectModel,False
pcshinde07/eBanking-,False
tarikburakkumcu/Hotel-Project02,False
super-mario-brother/com.hybridArgos,False
GUELIANEBelkacem/ElasticVitae,False
sivareddysanivarapu/AxisBankAutomation,False
FrankSanCo/Automation-BPE,False
LMQ0514/lmq-deucation,False
TuongHNC/webAutomation,False
wyc-0705/guli_parent2,False
amoldeshmane94/actitime,False
akashbudgude/GrowwApp,False
sandy2793/CucumberTest,False
Gagana-BN/PatientDetails,False
digvijaypatil2318/HybridFrameWork,False
JavaScripthello/guigu,False
yingxx26/springboot-learning-mytest,False
CaptainXuann/guli,False
sirishamarupakala/test-2021-Nov,False
sirishamarupakala/DemoTest_2021,False
rpsejz12/develoom,False
rajeshcicd/New_master,False
qingyu-ai/health,False
UESTC-software-engineering-squad/SecondHanndMarket,False
Spoorthy-28/HealthCareProject,False
TKhadase/SpringBootMail,False
ianfranco1986/SIGFApp2,False
elisa-gv/Wizeline,False
1147746903/edu_parent,False
LaudateCorpus1/fda-mystudies,False
781288772/springboot-guli,False
RameshAGIT/SecondRepository,False
sandhyajhama/Testing,False
RameshAGIT/firstRepo,False
mchuratac/CajaPiuraCMAC2021,False
RockySaum92/FreeCRMTest,False
RockySaum92/OOPConceptInPOM,False
apache/commons-codec,True
samqws-marketing/box_mojito,False
joaoffgazzara/desafioWebFinger,False
joaoffgazzara/ProcessoSeletivoFinger,False
Apolox11/dev1,False
ThiagaoCode/teste-estagiario-certsys,False
madopew/wd-task4,False
drizzle888/qy-java,False
drizzle888/steamMall,False
hzs0502030128/smile-framework,False
VolodymyrHorodetskyy/modnyi_shop,False
mztr-l/gmall-0826,False
AlexLink90/multiservices,False
B01AND/cyberduck,False
abnishsingh/WebUI,False
abnishsingh/QbitInfrastructureService,False
ghostxbh/uzy-fp,False
Caocs/second_kill,False
sweeter-box/sls,False
henriquearaujoo/coinexchange,False
jhjin74/test,False
AndyWorks96/andy-parent,False
qingyu-ai/health,False
UESTC-software-engineering-squad/SecondHanndMarket,False
PugCharleS/CRUD-JAVAFX,False
Cheol-yeon/Schudule_RestAPI,False
LaudateCorpus1/datawave,False
LaudateCorpus1/skills-service,False
LaudateCorpus1/emissary,False
LaudateCorpus1/openlr,False
LaudateCorpus1/speedtools,False
LaudateCorpus1/presto,False
LaudateCorpus1/karate,False
LaudateCorpus1/swarm-plugin,False
LaudateCorpus1/jenkins,False
LaudateCorpus1/configuration-as-code-plugin,False
LaudateCorpus1/fda-mystudies,False
LaudateCorpus1/openmrs-fhir-analytics,False
xiayuhu0414/seckill,False
dosrd/coinbasewrapperapi,False
LaudateCorpus1/Tank,False
ca-milin15/proy_grado_2021_java,False
wallysonnabarro/Projeto-PKs,False
wallysonnabarro/financeiro-front-end,False
yangziran/security-test,False
DGilfanova/Semestr-work-1,False
skonsul/community,False
Volcheslav/RockPaperSissors,False
hungminhle10072000/WebsiteBoxEnglish,False
kentPhilippines/zongbang,False
kentPhilippines/zongbang-admin,False
tsccg/health-project,False
cm4j/cm4j-all,False
darkwing105/LogAnalyzer,False
Dimitil/BinanceLibAndBot,False
Angelica-R/Trabajo-Encargado-01-Frameworks-de-pruebas,False
FATEC0SJC/2020-2-ADS-5,False
elizavetamoh/TaskTracker,False
xujiacahng/tuling-mall,False
kyberorg/yalsee,False
WSZiB-2021-2022/2021.11.05-bookStore,False
apache/maven-shared,True
skauppin/buildcache-maven-extension,False
Sathiyaseelan1810/sathiyaseelan_pandiyan_teladoc_challenge,False
famifuc/famifuc.hithub.io,False
studentqa2021/MahmudCucumber,False
rauwolfia/Apple_Practice,False
Awalhelal/3rd-git-push,False
Awalhelal/My-2nd-push,False
Awalhelal/First_Push,False
pianomanx/DependencyCheck,False
jacobazmi/MavenFirstProject,False
akbarkhan100/TEST,False
shumisaif/mynewproject,False
kmhaq2018/Akash1994,False
Rb518113/Zoopla_Framework,False
ProjetoBecaGrupoB/projetoBecaBJavadocs,False
abidur021/Zoopla,False
SaBoechat/ProjetoBeca,False
abidur021/BackupEclipse,False
xjin-Confluent/avro,False
confluentinc/avro,False
QA-Alam/Maximo_Zoopla,False
QA-Alam/Cucumbeer-BDD,False
QA-Alam/Hybrid_Project,False
QA-Alam/Zoopla_Project,False
QA-Alam/GitCommandProject,False
factoid233/JacocoIncrement,False
QA-Alam/Cucumber-Jenkins-TestNG,False
TinkerBoard2-Android/external-jacoco,False
rauwolfia/TestNG-Prac,False
major/avro,False
QA-Alam/JenkinsProject,False
nhojpatrick/mojohaus_build-helper-maven-plugin,False
nimcoh0/jdry-velocity-maven-plugin,False
nimcoh0/jdry-maven-plugin,False
ingogriebsch/sync-packagejson-version-maven-plugin,False
QA-Alam/Batch19Student,False
habibhasan78/Habib,False
idsuz/cash,False
mfoo/DependencyCheck,False
maeloliveira/person-api,False
j4inul1993/BDDPractice,False
Mamun19/MyFirstProject,False
atiq1971/Github-Automation,False
kikinteractive/maven-plugins,False
LucasSargeir/AgendaDeContatos-SpringBoot,False
nhojpatrick/jeremylong_DependencyCheck,False
Yes005/Airport,False
NawafSwe/QR-SpringServer,False
samrickbr/dio_person_api,False
j4inul1993/Project1,False
j4inul1993/CucumberBDD,False
UltimaPhoenix/maven-plugins,False
whoschek/avro,False
praveen0235/Ram,False
RallySoftware/avro,False
abeehazain/SDPOC,False
henryzz0/DependencyCheck,False
SmarttechIT/NewProject,False
zainbutt/cucumber_assignment,False
SmarttechIT/SmartBatch-16,False
apache/commons-lang,True
YoussefDaoud99/g-nie-logiciel,False
mztr-l/gmall-0826,False
sbabenko/jh2,False
javaminus/spring_mybatis,False
coolmeihuak/geekbang-study,False
TakiMed/interruptions_back,False
TuongHNC/webAutomation,False
citeaux/Jahap2,False
UniquePerch/xinmiao,False
tangside163/hotswap,False
javaTyrant/readZK,False
jn123977/Strategic2,False
1nstantz/gulimall,False
ZJRui/rabbitmq-v,False
LaudateCorpus1/gradle,False
LaudateCorpus1/datawave,False
LaudateCorpus1/emissary,False
LaudateCorpus1/datawave-query-metric-service,False
LaudateCorpus1/PACE,False
LaudateCorpus1/datawave-utils,False
LaudateCorpus1/openlr,False
LaudateCorpus1/presto,False
LaudateCorpus1/swarm-plugin,False
LaudateCorpus1/jenkins,False
LaudateCorpus1/configuration-as-code-plugin,False
LaudateCorpus1/activemq,False
LaudateCorpus1/codeql,False
LaudateCorpus1/iso19139.nl.services.1.2.1,False
dosrd/coinbasewrapperapi,False
SABAT-dev/PROJETOS-JAVA-FACULDADE,False
apache/eagle,False
nadment/hop-expression,False
aleksey-nsk/bank_api,False
showKstage/fut-all,False
Erwin-Neo/design-pattern,False
keqing555/Dongyimai,False
xujiacahng/tuling-mall,False
phoenixrever/renren-generator,False
1904wjp/Joyce99,False
1904wjp/Joyce33,False
Fanjialiang18/clearlove3-gulimall,False
y1source/code,False
soapy2018/meng-parent-pom,False
saeedshokoohi/bank-service,False
beihuagit/javaLesson8,False
zhangjilong0532/wechat-platform,False
fengyouliang/how-tomcat-works,False
1638185626/lq-springboot,False
Spandana5895/rk,False
lulukelu/aws-sdk-java-v2,False
junlingsun/gulimall,False
SNEHAASHISH/Twitter-Clone,False
mygps0916/springboot_book,False
hernang91188/IntroduccionJDBC4,False
raedkouira/GL,False
ASK-long/codeql,False
chongqiWang/study_web,False
johan--/epublib,False
johan--/geoserver,False
johan--/kimios,False
apache/maven-doxia-sitetools,True
boss562/maven-site,False
coolbeevip/dependabot-alerts,False
schemacrawler/SchemaCrawler-Report-Maven-Plugin,False
pinkul98/mavaenproject,False
nhojpatrick/apache_maven-surefire,False
jusbrasil/maven-surefire,False
kikinteractive/maven-plugins,False
Jahia/jahia-configuration,False
jdelker/maven-pdf-plugin,False
UltimaPhoenix/maven-plugins,False
ESA-Security-Group/maven-site,False
TobiTenno/maven-pmd-plugin,False
Orange-OpenSource/maven-plugins,False
heeyeah/opensource-license-analysis,False
sunflower51366/maven-site,False
Microsoft-Android/maven-surefire,False
javister/maven-plugins,False
Tryweirder/maven-surefire,False
peengtao123/shop,False
zregvart/maven-checkstyle-plugin,False
jimbethancourt/RefactorFirst,False
kevinlights/maven-plugins-learn,False
nikosnikolaidis/creadur-rat,False
spotbugs/spotbugs-maven-plugin,False
bindul/maven-plugins,False
bindul/reflow-maven-skin,False
exoplatform/clirr-maven-plugin,False
slachiewicz/maven-changelog-plugin,False
slachiewicz/maven-reporting-impl,False
slachiewicz/maven-pdf-plugin,False
slachiewicz/maven-pmd-plugin,False
slachiewicz/maven-changes-plugin,False
slachiewicz/maven-checkstyle-plugin,False
slachiewicz/maven-site-plugin,False
slachiewicz/maven-project-info-reports-plugin,False
slachiewicz/maven-doxia-sitetools,False
slachiewicz/maven-invoker-plugin,False
fs-eng/maven-plugins,False
joncosIT/SampleMavenApp,False
Thihup/maven-surefire,False
Relojerias-Labqurzor/maven-site,False
wessam1292/finalcertificates,False
rsadasiv/oopcorenlp_parent,False
jthelin/maven-plugins,False
jlgrock/ClosureJavascriptFramework,False
hixio-mh/maven-surefire,False
jsoref/clirr-maven-plugin,False
slachiewicz/maven-site,False
apache/maven-jxr,True
Thryms/brickbreaker,False
ludovicB31/login-generator,False
aminebzg/login-generator,False
aminebzg/my-simple-stack,False
NicolasBrod/my-simple-stack,False
Kzamania/my-simple-stack,False
FINRAOS/DataGenerator,False
huydanlin/dg-parent,False
shraddha-patel/DGWithSpark,False
QuentinChampeau/login-generator_M1_2017,False
shraddha-patel/SparkDistributor,False
Brijeshrpatel9/DataGeneratorFinal,False
Dreu/TP2_Dcll,False
apache/maven-doxia,True
EmaBal/shopgenius,False
Splendit/minimal-project,False
abcgroupuae/ABCAdmin,False
Depla97/FoodTracker,False
SimoneCappella/AdvancedProgramming,False
BlackeWhite/Bookshop,False
zccfba/SmartShop,False
